SAMPLE	GENOME	TOT_RDS	TOT_BP	Size	MEAN_COV	COM_FRAC
ET_SCN_9	SCN18_26_2_15_R4_P_Microbacterium_70_222	59059	8853107	2953160	2.997841973	0.011730568
ET_SCN_9	SCN18_26_2_15_R5_B_Alphaproteobacteria_66_27	2556	383280	7324041	0.052331766	0.000204774
ET_SCN_9	SCN18_26_2_15_R5_F_Sphingomonas_65_27	45	6749	3341277	0.002019886	7.9e-06
ET_SCN_9	SCN18_30_10_14_R1_B_SCNPILOT_EXPT_1000_BF_Afipia_62_8_60_16	773	115928	4609494	0.025149832	9.84e-05
ET_SCN_9	SCN18_30_10_14_R1_B_SCNPILOT_EXPT_750_BF_Actinomycetales_70_150_73_20	0	0	2848058	0	0
ET_SCN_9	SCN18_30_10_14_R1_B_Sphingobium_66_9	11	1650	3875922	0.000425705	1.67e-06
ET_SCN_9	SCN18_30_10_14_R1_P_Bosea_67_18	2322	348161	4815883	0.072294323	0.000282888
ET_SCN_9	SCN18_30_10_14_R1_P_Cytophagales_49_46	0	0	8175295	0	0
ET_SCN_9	SCN18_30_10_14_R1_P_Rhizobiales_62_27	3270	490299	5806422	0.084440814	0.000330417
ET_SCN_9	SCN18_30_10_14_R1_P_SCNPILOT_EXPT_1000_BF_Sphingomonas_65_55_65_26	1	150	3585854	4.18e-05	1.64e-07
ET_SCN_9	SCN18_30_10_14_R2_B_Alphaproteobacteria_64_8	125	18747	2659181	0.007049915	2.76e-05
ET_SCN_9	SCN18_30_10_14_R2_B_Bacteria_71_11	0	0	9007526	0	0
ET_SCN_9	SCN18_30_10_14_R2_B_Bradyrhizobiaceae_62_135	13241	1985318	4799874	0.413618774	0.001618492
ET_SCN_9	SCN18_30_10_14_R2_B_Possibly_Chloroflexi_64_8	18	2700	3141211	0.000859541	3.36e-06
ET_SCN_9	SCN18_30_10_14_R2_B_Rhizobiales_63_8	36	5400	4692807	0.001150697	4.5e-06
ET_SCN_9	SCN18_30_10_14_R2_B_Rhizobiales_64_10	20	3000	4560801	0.000657779	2.57e-06
ET_SCN_9	SCN18_30_10_14_R2_B_Rhizobiales_64_7	9	1221	2659393	0.000459127	1.8e-06
ET_SCN_9	SCN18_30_10_14_R2_B_Rhizobiales_64_8	142	21168	3075841	0.00688202	2.69e-05
ET_SCN_9	SCN18_30_10_14_R2_B_Rhizobiales_67_7	50	7498	2127637	0.003524097	1.38e-05
ET_SCN_9	SCN18_30_10_14_R2_B_SCNPILOT_CONT_1000_P_Alphaproteobacteria_64_11_65_16	16264	2438572	3446473	0.707555811	0.002768669
ET_SCN_9	SCN18_30_10_14_R2_B_SCNPILOT_EXPT_1000_BF_Afipia_62_8-rel_65_16	190	28493	4019435	0.007088807	2.77e-05
ET_SCN_9	SCN18_30_10_14_R2_B_SCNPILOT_SOLID2_TRIM150_Alphaproteobacteria_62_41_63_12	9273	1390240	3494698	0.39781406	0.001556648
ET_SCN_9	SCN18_30_10_14_R2_P_Burkholderiales_63_16	27	4050	5657395	0.000715877	2.8e-06
ET_SCN_9	SCN18_30_10_14_R2_P_Sphingomonas_67_78	29	4349	3183506	0.001366104	5.35e-06
ET_SCN_9	SCN18_30_10_14_R3_B_Delftia_65_125	0	0	4899136	0	0
ET_SCN_9	SCN18_30_10_14_R3_B_Leifsonia_70_93	0	0	3126661	0	0
ET_SCN_9	SCN18_30_10_14_R3_B_Rhizobiales_60_7	14	2094	4098479	0.000510921	2e-06
ET_SCN_9	SCN18_30_10_14_R3_B_Rhizobiales_64_9	0	0	5594316	0	0
ET_SCN_9	SCN18_30_10_14_R3_B_SCNPILOT_CONT_1000_P_Verrucomicrobia_61_8_61_17	7	1045	5110051	0.000204499	8e-07
ET_SCN_9	SCN18_30_10_14_R3_B_SCNPILOT_CONT_500_BF_Rhizobiales_64_17-related_63_20	346	51859	3709453	0.013980228	5.47e-05
ET_SCN_9	SCN18_30_10_14_R3_B_SCNPILOT_EXPT_500_BF_STEP10_Armatimonadetes_55_34_56_13	0	0	4448170	0	0
ET_SCN_9	SCN18_30_10_14_R3_B_SCNpilot_P_inoc_Thiobacillus_strain2_63_34_65_22	64	9596	2984013	0.003215804	1.26e-05
ET_SCN_9	SCN18_30_10_14_R3_P_Alphaproteobacteria_65_207	1969	295209	5203457	0.056733245	0.000221997
ET_SCN_9	SCN18_30_10_14_R3_P_Bosea_sp_LC85_SCNPILOT_EXPT_1000_BF_Rhizobiales_65_15_67_61	0	0	5551342	0	0
ET_SCN_9	SCN18_30_10_14_R3_P_Burkholderiales_68_190	205	30730	4991047	0.006157025	2.41e-05
ET_SCN_9	SCN18_30_10_14_R3_P_CN-SCN_Devosia_27x_66_71	319	47709	4092090	0.011658834	4.56e-05
ET_SCN_9	SCN18_30_10_14_R3_P_CN-SCN_Microbacterium_27x_70_19	125	18748	2788097	0.0067243	2.63e-05
ET_SCN_9	SCN18_30_10_14_R3_P_Caulobacterales_69_10	0	0	2395800	0	0
ET_SCN_9	SCN18_30_10_14_R3_P_Rhizobiales_65_8	7	1050	3477740	0.00030192	1.18e-06
ET_SCN_9	SCN18_30_10_14_R3_P_SCNPILOT_EXPT_1000_BF_Afipia_62_8_62_188	2207	330915	3895075	0.084957286	0.000332438
ET_SCN_9	SCN18_30_10_14_R4_B_Microbacterium_70_78	386	57892	3498495	0.016547687	6.48e-05
ET_SCN_9	SCN18_30_10_14_R4_P_Alphaproteobacteria_64_8	1851	277520	5414201	0.051257794	0.000200572
ET_SCN_9	SCN18_30_10_14_R4_P_Microbacterium_70_55	789	118203	3762096	0.031419453	0.000122944
ET_SCN_9	SCN18_30_10_14_R4_P_Rhizobiales_66_13	328	49128	4256458	0.011541991	4.52e-05
ET_SCN_9	SCN18_30_10_14_R4_P_SCNPILOT_CONT_300_BF_Rhizobiales_67_6-related_67_37	15170	2274426	5097286	0.446203333	0.001745995
ET_SCN_9	SCN18_30_10_14_R4_P_SCN_Variovorax_21x_69_13	26	3780	6119080	0.00061774	2.42e-06
ET_SCN_9	SCN18_30_10_14_R5_P_Alphaproteobacteria_65_16	2	300	5322918	5.64e-05	2.21e-07
ET_SCN_9	SCN18_30_10_14_R5_P_Burkholderiales_69_51	0	0	4428054	0	0
ET_SCN_9	SCN18_30_10_14_R5_P_Hydrogenophaga_sp_PBC_SCNpilot_P_inoc_Hydrogenophaga_70_12_70_78	0	0	4666461	0	0
ET_SCN_9	SCN18_30_10_14_R5_P_Sphingomonadales_65_13	1	14	5106904	2.74e-06	1.07e-08
ET_SCN_9	SCN18_31_3_15_R1_B_Nitrobacter_62_136	10371	1555155	3596918	0.432357646	0.001691817
ET_SCN_9	SCN18_31_3_15_R1_B_Nitrosospira_56_42	5636	844983	3240699	0.26074097	0.00102028
ET_SCN_9	SCN18_31_3_15_R1_B_SCNPILOT_CONT_1000_BF_Rhizobiales_65_79_68_31	3507	525594	4431631	0.118600578	0.000464085
ET_SCN_9	SCN18_31_3_15_R3_B_SCNPILOT_EXPT_300_BF_Sphingomonas_67_13_68_146	25710	3854566	4444055	0.867353352	0.003393957
ET_SCN_9	SCN18_31_3_15_R4_B_Acidobacteria_62_15	21398	3208397	9385101	0.341860679	0.001337702
ET_SCN_9	SCN18_31_3_15_R4_B_SCNpilot_BF_INOC_Flavobacterium_39_30_40_63	0	0	3890927	0	0
ET_SCN_9	SCN18_31_3_15_R5_B_SCNPILOT_CONT_750_BF_Chitinophagaceae_50_32	80	11998	9391252	0.001277572	5e-06
ET_SCN_9	SCN18_SCNpilot_BF_INOC_Bordetella_67_10_67_46	6	900	3232968	0.000278382	1.09e-06
ET_SCN_9	SCNPILOT_EXPT_1000_BF_Rhizobiales_69_8_partial_69_13	95	14243	5320238	0.002677136	1.05e-05
ET_SCN_9	SCN_bioreactor_inoc_reactora_Bacteroidetes_38_10	0	0	3655513	0	0
ET_SCN_9	SCN_bioreactor_inoc_reactora_Bacteroidetes_39_99	4	600	3302211	0.000181696	7.11e-07
ET_SCN_9	SCN_bioreactor_inoc_reactora_Legionella_40_7	247	37030	2376544	0.015581449	6.1e-05
ET_SCN_9	SCN_bioreactor_inoc_reactorb_Actinobacteria_65_60	2	300	2733184	0.000109762	4.29e-07
ET_SCN_9	SCN_bioreactor_inoc_reactorb_Bacteroidetes_53_13	0	0	3035995	0	0
ET_SCN_9	SCN_bioreactor_inoc_reactorb_Betaproteobacteria_68_25	1032	154765	4928268	0.031403528	0.000122882
ET_SCN_9	SCN_bioreactor_inoc_reactorb_Rhodocyclales_66_46	322	48152	3693402	0.013037303	5.1e-05
ET_SCN_9	SCN_bioreactor_t0_Alphaproteobacteria_66_43	1315	197174	5098746	0.038671077	0.00015132
ET_SCN_9	SCN_bioreactor_t0_Leifsonia_70_11	669	100299	2690851	0.037274082	0.000145854
ET_SCN_9	SCN_bioreactor_t0_Rhizobiales_60_89	606	90867	4455400	0.020394802	7.98e-05
ET_SCN_9	SCNpilot_BF_INOC_Bordetella_67_10_67_30	235	35150	6610525	0.005317278	2.08e-05
ET_SCN_9	pHLL249	0	0	4808	0	0
ET_SCN_9	pHLL250	3	447	4892	0.091373671	0.000357546
ET_SCN_9	scnpilot_dereplicated_Accumulibacter_1	6	900	4385439	0.000205225	8.03e-07
ET_SCN_9	scnpilot_dereplicated_Acinetobacter_1	0	0	3478169	0	0
ET_SCN_9	scnpilot_dereplicated_Aeromonas_1	0	0	4467577	0	0
ET_SCN_9	scnpilot_dereplicated_Alicycliphilus_1	310	46492	4633122	0.010034702	3.93e-05
ET_SCN_9	scnpilot_dereplicated_Alphaproteobacteria_1	0	0	2859639	0	0
ET_SCN_9	scnpilot_dereplicated_Alphaproteobacteria_5	0	0	1883020	0	0
ET_SCN_9	scnpilot_dereplicated_Alphaproteobacteria_9	38	5697	1559746	0.003652518	1.43e-05
ET_SCN_9	scnpilot_dereplicated_Amoebophilus_1	0	0	1762822	0	0
ET_SCN_9	scnpilot_dereplicated_Bacteroidales_1	0	0	3916741	0	0
ET_SCN_9	scnpilot_dereplicated_Bacteroidales_2	13	1950	3860239	0.00050515	1.98e-06
ET_SCN_9	scnpilot_dereplicated_Bacteroidetes_3	0	0	2468842	0	0
ET_SCN_9	scnpilot_dereplicated_Bacteroidetes_4	315	47235	4727320	0.009991919	3.91e-05
ET_SCN_9	scnpilot_dereplicated_Bacteroidetes_5	1	16	3123620	5.12e-06	2e-08
ET_SCN_9	scnpilot_dereplicated_Bacteroidetes_6	13	1950	4357586	0.000447495	1.75e-06
ET_SCN_9	scnpilot_dereplicated_Bacteroidetes_8	6	898	3866915	0.000232226	9.09e-07
ET_SCN_9	scnpilot_dereplicated_Bacteroidia_1	0	0	3605433	0	0
ET_SCN_9	scnpilot_dereplicated_Bacteroidia_2	0	0	5737001	0	0
ET_SCN_9	scnpilot_dereplicated_Brevundimonas_1	0	0	2930189	0	0
ET_SCN_9	scnpilot_dereplicated_Burkholderiales_1	20	2999	5773277	0.000519462	2.03e-06
ET_SCN_9	scnpilot_dereplicated_Burkholderiales_2	5	619	3643094	0.000169911	6.65e-07
ET_SCN_9	scnpilot_dereplicated_Burkholderiales_4	37	5550	4721507	0.001175472	4.6e-06
ET_SCN_9	scnpilot_dereplicated_Burkholderiales_7	2	295	3765990	7.83e-05	3.07e-07
ET_SCN_9	scnpilot_dereplicated_Burkholderiales_9	0	0	3170979	0	0
ET_SCN_9	scnpilot_dereplicated_Caedibacter_2	0	0	1832742	0	0
ET_SCN_9	scnpilot_dereplicated_Cellulomonas_1	1080	161963	3706680	0.043694897	0.000170978
ET_SCN_9	scnpilot_dereplicated_Chlamydia_1	0	0	2529957	0	0
ET_SCN_9	scnpilot_dereplicated_Chlamydiales_1	10	1498	2834110	0.000528561	2.07e-06
ET_SCN_9	scnpilot_dereplicated_Chloroflexi_1	0	0	4184439	0	0
ET_SCN_9	scnpilot_dereplicated_Clostridiales_1	0	0	3417378	0	0
ET_SCN_9	scnpilot_dereplicated_Clostridiales_2	0	0	3088360	0	0
ET_SCN_9	scnpilot_dereplicated_Delftia_1	0	0	6476131	0	0
ET_SCN_9	scnpilot_dereplicated_Devosia_1	1	22	3994449	5.51e-06	2.16e-08
ET_SCN_9	scnpilot_dereplicated_Devosia_2	33	4950	4355070	0.001136606	4.45e-06
ET_SCN_9	scnpilot_dereplicated_Devosia_5	0	0	5719967	0	0
ET_SCN_9	scnpilot_dereplicated_Dyadobacter_1	0	0	7719061	0	0
ET_SCN_9	scnpilot_dereplicated_Dysgonomonas_1	0	0	4410792	0	0
ET_SCN_9	scnpilot_dereplicated_Enterobacter_1	159	23841	5013079	0.00475576	1.86e-05
ET_SCN_9	scnpilot_dereplicated_Flavobacteriia_1	0	0	3521150	0	0
ET_SCN_9	scnpilot_dereplicated_Flavobacterium_1	0	0	3801142	0	0
ET_SCN_9	scnpilot_dereplicated_Legionella_1	301	45134	4167318	0.010830467	4.24e-05
ET_SCN_9	scnpilot_dereplicated_Leifsonia_1	503	75435	4475315	0.016855797	6.6e-05
ET_SCN_9	scnpilot_dereplicated_Magnetospirillum_1	3	450	4273527	0.000105299	4.12e-07
ET_SCN_9	scnpilot_dereplicated_Mesorhizobium_2	79	11835	3923245	0.003016635	1.18e-05
ET_SCN_9	scnpilot_dereplicated_Microbacterium_3	0	0	3478756	0	0
ET_SCN_9	scnpilot_dereplicated_Microbacterium_4	193	28915	3517424	0.008220505	3.22e-05
ET_SCN_9	scnpilot_dereplicated_Microbacterium_5	16	2398	3129463	0.000766266	3e-06
ET_SCN_9	scnpilot_dereplicated_Microbacterium_6	2	300	3139230	9.56e-05	3.74e-07
ET_SCN_9	scnpilot_dereplicated_Microbacterium_7	16	2397	2908404	0.000824163	3.22e-06
ET_SCN_9	scnpilot_dereplicated_Micrococcales_2	86	12897	2404392	0.005363934	2.1e-05
ET_SCN_9	scnpilot_dereplicated_Micrococcales_3	1	20	3818346	5.24e-06	2.05e-08
ET_SCN_9	scnpilot_dereplicated_Mucilaginibacter_1	0	0	4167186	0	0
ET_SCN_9	scnpilot_dereplicated_Myxococcales_1	1	82	11892526	6.9e-06	2.7e-08
ET_SCN_9	scnpilot_dereplicated_Nitrobacter_2	378	56670	3540405	0.016006643	6.26e-05
ET_SCN_9	scnpilot_dereplicated_Paludibacter_1	0	0	4182621	0	0
ET_SCN_9	scnpilot_dereplicated_Pandoraea_1	948	142156	4875685	0.029156108	0.000114088
ET_SCN_9	scnpilot_dereplicated_Planctomycetales_1	270	40360	7731496	0.005220206	2.04e-05
ET_SCN_9	scnpilot_dereplicated_Pseudonocardia_1	182	27074	7090563	0.003818315	1.49e-05
ET_SCN_9	scnpilot_dereplicated_Rhizobiales_1	1424	213427	5132883	0.041580336	0.000162704
ET_SCN_9	scnpilot_dereplicated_Rhizobiales_6	428	64184	4143367	0.015490783	6.06e-05
ET_SCN_9	scnpilot_dereplicated_Rhizobium_2	0	0	4625786	0	0
ET_SCN_9	scnpilot_dereplicated_Rhodobacterales_1	0	0	4679666	0	0
ET_SCN_9	scnpilot_dereplicated_Rhodospirillales_2	404	60593	6483964	0.009345055	3.66e-05
ET_SCN_9	scnpilot_dereplicated_Solirubrobacterales_2	363	54327	4207762	0.012911139	5.05e-05
ET_SCN_9	scnpilot_dereplicated_Sphingobacteriales_3	39	5847	5487359	0.00106554	4.17e-06
ET_SCN_9	scnpilot_dereplicated_Sphingobacteriales_5	0	0	3133412	0	0
ET_SCN_9	scnpilot_dereplicated_Sphingobacteriales_6	9	1350	6139489	0.000219888	8.6e-07
ET_SCN_9	scnpilot_dereplicated_Sphingobium_2	16	2399	3996113	0.000600333	2.35e-06
ET_SCN_9	scnpilot_dereplicated_Sphingomonadales_1	0	0	3512439	0	0
ET_SCN_9	scnpilot_dereplicated_Sphingomonas_1	2437	365317	4000194	0.091324821	0.000357354
ET_SCN_9	scnpilot_dereplicated_Sphingomonas_3	468	70187	5385678	0.013032157	5.1e-05
ET_SCN_9	scnpilot_dereplicated_Sphingopyxis_1	2	300	3291164	9.12e-05	3.57e-07
ET_SCN_9	scnpilot_dereplicated_Stenotrophomonas_1	0	0	3693706	0	0
ET_SCN_9	scnpilot_dereplicated_TM7_1	0	0	904897	0	0
ET_SCN_9	scnpilot_dereplicated_Thiobacillus_2	78	11698	2906018	0.00402544	1.58e-05
ET_SCN_9	scnpilot_dereplicated_Thiobacillus_3	46216	6929046	3213355	2.156327577	0.008437719
ET_SCN_9	scnpilot_dereplicated_Thiobacillus_5	9	1348	2896222	0.000465434	1.82e-06
ET_SCN_9	scnpilot_dereplicated_Xanthomonadales_2	0	0	5810929	0	0
ET_SCN_9	scnpilot_dereplicated_Xanthomonadales_3	0	0	3747714	0	0
ET_SCN_10	2019_SCN_bioreactor_inoc_reactora_Parvibaculum_lavamentivorans_64_9	0	0	2169045	0	0
ET_SCN_10	2019_SCN_bioreactor_inoc_reactorb_Clostridiales_33_7	0	0	2768656	0	0
ET_SCN_10	2019_SCN_bioreactor_inoc_reactorb_Micrococcales_71_5	13131	1968408	2321692	0.84783339	0.002246199
ET_SCN_10	2019_SCN_bioreactor_t0_Stenotrophomonas_maltophilia_67_6	21	3150	2741033	0.001149202	3.04e-06
ET_SCN_10	2019_SCN_bioreactor_t1_biofilm_Bacteria_60_83	2384	357355	4926059	0.072543792	0.000192193
ET_SCN_10	2019_SCN_bioreactor_t1_biofilm_Bacteroidetes_44_32	79	11849	5604790	0.002114085	5.6e-06
ET_SCN_10	2019_SCN_bioreactor_t1_biofilm_Cellulomonas_74_9	3229	484168	1978896	0.244665713	0.000648203
ET_SCN_10	2019_SCN_bioreactor_t1_biofilm_Enterobacter_55_10	0	0	4531288	0	0
ET_SCN_10	2019_SCN_bioreactor_t1_biofilm_Flavobacteriales_36_17	80	12000	3456031	0.003472191	9.2e-06
ET_SCN_10	2019_SCN_bioreactor_t1_biofilm_Gammaproteobacteria_65_65	24619	3691206	3431684	1.075625262	0.002849697
ET_SCN_10	2019_SCN_bioreactor_t1_biofilm_Legionellales_40_39	17	2550	3217128	0.000792632	2.1e-06
ET_SCN_10	2019_SCN_bioreactor_t1_biofilm_Microbacterium_71_12	2396	359082	3035962	0.118276184	0.000313354
ET_SCN_10	2019_SCN_bioreactor_t1_biofilm_Micrococcales_70_15	154	23086	2203065	0.010479037	2.78e-05
ET_SCN_10	2019_SCN_bioreactor_t1_biofilm_Micrococcales_73_29	11989	1797499	3783799	0.475051397	0.001258573
ET_SCN_10	2019_SCN_bioreactor_t1_biofilm_Pseudonocardia_dioxanivorans_73_113	341732	51230812	6259414	8.184601945	0.021683794
ET_SCN_10	2019_SCN_bioreactor_t1_biofilm_Verrucomicrobia_66_15	5	750	4635063	0.00016181	4.29e-07
ET_SCN_10	2019_SCN_bioreactor_t1_planktonic_Alphaproteobacteria_67_63	5987	897590	5503510	0.163094098	0.000432092
ET_SCN_10	2019_SCN_bioreactor_t2_biofilm_Acidovorax_65_56	1745	261696	5190320	0.050420013	0.00013358
ET_SCN_10	2019_SCN_bioreactor_t2_biofilm_Alphaproteobacteria_70_37	4991	748171	4857358	0.154028383	0.000408074
ET_SCN_10	2019_SCN_bioreactor_t2_biofilm_Herbaspirillum_63_171	5926	888336	5554569	0.15992888	0.000423706
ET_SCN_10	2019_SCN_bioreactor_t2_biofilm_Hyphomicrobium_denitrificans_61_11	36482	5469665	2933659	1.864451526	0.004939566
ET_SCN_10	2019_SCN_bioreactor_t2_biofilm_Novosphingobium_sp_MD-1_67_8	1071	160486	3432314	0.046757377	0.000123876
ET_SCN_10	2019_SCN_bioreactor_t2_biofilm_Sphingobacteriales_50_15	538587	80755369	9343152	8.643268246	0.022898957
ET_SCN_10	2019_SCN_bioreactor_t2_biofilm_Xanthomonadales_71_37	1552	232716	2596304	0.089633571	0.00023747
ET_SCN_10	2019_SCN_bioreactor_t2_plantonic_Alphaproteobacteria_70_36	8662	1298764	5884952	0.220692369	0.000584689
ET_SCN_10	2019_SCN_bioreactor_t2_plantonic_Sphingomonadales_63_2074	22866	3428724	3756989	0.912625509	0.002417855
ET_SCN_10	2019_SCN_bioreactor_t3_biofilm_Acidobacteriales_60_11	7263	1088988	4117645	0.264468647	0.000700667
ET_SCN_10	2019_SCN_bioreactor_t3_biofilm_Bacteroidetes_40_21	1095	164125	6135429	0.026750371	7.09e-05
ET_SCN_10	2019_SCN_bioreactor_t3_biofilm_Bacteroidetes_44_17	425997	63872545	6069571	10.52340355	0.027880074
ET_SCN_10	2019_SCN_bioreactor_t3_biofilm_Devosia_66_11	58	8695	4285650	0.002028864	5.38e-06
ET_SCN_10	2019_SCN_bioreactor_t3_biofilm_Leifsonia_71_11	4840	725482	3034240	0.239098423	0.000633453
ET_SCN_10	2019_SCN_bioreactor_t3_biofilm_Verrucomicrobia_59_10	92481	13865980	3637044	3.812431194	0.010100427
ET_SCN_10	2019_SCN_bioreactor_t3_planktonic_Azospirillum_lipoferum_68_106	335	50153	5405113	0.009278807	2.46e-05
ET_SCN_10	2019_SCN_bioreactor_t3_planktonic_Klebsiella_oxytoca_56_23	11914	1786281	5785362	0.308758726	0.000818007
ET_SCN_10	2019_SCN_bioreactor_t3_planktonic_Planctomycetes_54_6	3044	456416	5229224	0.087281784	0.000231239
ET_SCN_10	2019_SCN_bioreactor_t4_biofilm_Comamonas_61_10	999	149811	5354488	0.027978585	7.41e-05
ET_SCN_10	2019_SCN_bioreactor_t4_planktonic_Bacteroidetes_43_45	34560	5181788	4229238	1.225229699	0.00324605
ET_SCN_10	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	20791	3117771	6293399	0.495403358	0.001312492
ET_SCN_10	CN18_26_2_15_R1_F_uSCNPILOT_CONT_500_BF_Rhizobiales_64_17_64_27	13912	2085808	4633717	0.450137115	0.001192566
ET_SCN_10	CN18_26_2_15_R4_P_Melainabacteria_51_74	161	24144	4615792	0.005230738	1.39e-05
ET_SCN_10	CN18_30_10_14_R2_B_Alphaproteobacteria_67_12	71	10648	5684320	0.001873223	4.96e-06
ET_SCN_10	E.coli_WM3604_scaffold_min1000	807	121008	4612074	0.02623722	6.95e-05
ET_SCN_10	SCN18_10_11_15_R1_B_SCNPILOT_CONT_300_BF_Rhizobiales_62_47_63_12	161	24144	4665019	0.005175542	1.37e-05
ET_SCN_10	SCN18_10_11_15_R1_B_SCNPILOT_EXPT_1000_BF_Rhizobiales_63_7_63_17	43	6450	6549139	0.000984862	2.61e-06
ET_SCN_10	SCN18_10_11_15_R1_B_Solirubrobacterales_67_19	0	0	3216134	0	0
ET_SCN_10	SCN18_10_11_15_R1_P_Microbacterium_71_863	18	2699	3864224	0.000698458	1.85e-06
ET_SCN_10	SCN18_10_11_15_R3_B_Afipia_64_1782_curated	724694	108644230	3548607	30.61602201	0.081112253
ET_SCN_10	SCN18_10_11_15_R3_B_Rhizobiales_63_59	370	55464	7452781	0.007442054	1.97e-05
ET_SCN_10	SCN18_10_11_15_R4_P_Reyranella_68_349	148	22196	6472661	0.003429192	9.09e-06
ET_SCN_10	SCN18_10_11_15_R4_P_Rhizobiales_68_13	6473	970263	5537263	0.175224294	0.000464229
ET_SCN_10	SCN18_10_11_15_R4_P_SCNPILOT_CONT_750_P_Caedibacter_acanthamoebae_37_11_38_20	4	600	1645883	0.000364546	9.66e-07
ET_SCN_10	SCN18_10_11_15_R4_P_SCNPILOT_EXPT_1000_BF_Sphingobacteriia_40_10_29_136	0	0	2121440	0	0
ET_SCN_10	SCN18_10_11_15_R4_P_Sphingobacteriales_45_140	0	0	3943039	0	0
ET_SCN_10	SCN18_10_11_15_R5_B_Rhizobiales_67_21	19	2850	8382456	0.000339996	9.01e-07
ET_SCN_10	SCN18_10_11_15_R5_B_SCNPILOT_CONT_1000_BF_Mesorhizobium_65_39_64_12	74337	11144683	7086805	1.572596255	0.004166342
ET_SCN_10	SCN18_10_11_15_R5_P_Alphaproteobacteria_68_131	535	80062	7539962	0.010618356	2.81e-05
ET_SCN_10	SCN18_10_11_15_R5_P_Candidatus_Caedibacter_acanthamoebae_SCNPILOT_EXPT_500_P_38_48_38_48	2	300	1997675	0.000150175	3.98e-07
ET_SCN_10	SCN18_13_7_16_R1_B_Burkholderiales_69_20	40	5998	3916558	0.001531447	4.06e-06
ET_SCN_10	SCN18_13_7_16_R1_B_Mesorhizobium_65_18	93	13943	4818058	0.002893905	7.67e-06
ET_SCN_10	SCN18_13_7_16_R1_B_Nakamurella_69_21	82	12169	4497244	0.002705879	7.17e-06
ET_SCN_10	SCN18_13_7_16_R1_B_SCNpilot_P_inoc_Stenotrophomonas_69_27_68_91	290	43253	4001815	0.010808346	2.86e-05
ET_SCN_10	SCN18_13_7_16_R1_B_Solirubrobacterales_68_13	4	600	2489084	0.000241053	6.39e-07
ET_SCN_10	SCN18_13_7_16_R1_B_Xanthomonadales_69_60	0	0	3386114	0	0
ET_SCN_10	SCN18_13_7_16_R3_B_Actinobacteria_70_9	5862	878945	4508133	0.194968738	0.000516538
ET_SCN_10	SCN18_13_7_16_R3_B_SCNPILOT_CONT_300_BF_Rhizobiales_62_47_63_31	15573	2334737	4726775	0.493938679	0.001308612
ET_SCN_10	SCN18_13_7_16_R3_B_SCN_Thiomonas_15x_64_19	4271328	640430636	3414391	187.5680424	0.496931527
ET_SCN_10	SCN18_13_7_16_R4_B_Burkholderiales_66_10	21	3149	6110206	0.000515367	1.37e-06
ET_SCN_10	SCN18_13_7_16_R4_B_Burkholderiales_68_29	67	10049	6729370	0.001493305	3.96e-06
ET_SCN_10	SCN18_14_9_16_R1_B_Chryseobacterium_40_24	132	19788	3048146	0.006491815	1.72e-05
ET_SCN_10	SCN18_14_9_16_R1_B_Rhizobiales_65_9	56	8396	5013351	0.001674728	4.44e-06
ET_SCN_10	SCN18_14_9_16_R1_B_SCNpilot_P_inoc_Kapabacteria_57_18_59_45	0	0	3253864	0	0
ET_SCN_10	SCN18_14_9_16_R2_B_Alphaproteobacteria_64_15	7772	1165104	6313041	0.184555114	0.000488949
ET_SCN_10	SCN18_14_9_16_R3_B_SCNPILOT_CONT_300_BF_Rhizobiales_62_47-related_60_10	2	296	3129718	9.46e-05	2.51e-07
ET_SCN_10	SCN18_14_9_16_R3_B_SCNPILOT_EXPT_1000_BF_Sphingobacteriia_40_10_37_82	0	0	3329790	0	0
ET_SCN_10	SCN18_14_9_16_R4_B_Actinobacteria_68_6	0	0	1814631	0	0
ET_SCN_10	SCN18_14_9_16_R4_B_SCNPILOT_EXPT_300_BF_Sphingomonadales_67_9_67_9	405	60724	2933246	0.02070198	5.48e-05
ET_SCN_10	SCN18_14_9_16_R5_B_Filimonas_42_18	2	299	6151592	4.86e-05	1.29e-07
ET_SCN_10	SCN18_14_9_16_R5_B_Mesorhizobium_63_3	776	116360	6235509	0.018660866	4.94e-05
ET_SCN_10	SCN18_25_1_16_R1_B_Burkholderiales_68_8	8	1199	2409378	0.000497639	1.32e-06
ET_SCN_10	SCN18_25_1_16_R1_B_Chitinophagaceae_40_177	9	1350	4101688	0.000329133	8.72e-07
ET_SCN_10	SCN18_25_1_16_R1_B_SCNPILOT_CONT_300_BF_Rhizobiales_62_47_62_13	2490	373371	5170539	0.072211234	0.000191312
ET_SCN_10	SCN18_25_1_16_R1_B_SCN_Comamonas_36x_67_66	186	27891	3347540	0.00833179	2.21e-05
ET_SCN_10	SCN18_25_1_16_R2_B_Alphaproteobacteria_70_11	6017	901887	4340141	0.207801313	0.000550536
ET_SCN_10	SCN18_25_1_16_R2_B_SCNPILOT_CONT_300_BF_Rhizobiales_62_47-related_62_30	39	5847	5027196	0.001163074	3.08e-06
ET_SCN_10	SCN18_25_1_16_R3_B_Rudaea_64_147	4034	604908	5517738	0.109629707	0.000290446
